sample_id	121-Si8-C	122-Si8-C	123-Si8-C	124-Si8-C	125-Si8-C	126-Si8-C	127-Si8-C	128-Si8-C	129-Si8-C	130-Si8-C	131-Si8-C	132-Si8-C	133-Si8-C	134-Si8-C	135-Si8-C	136-Si8-C	137-Si8-C	138-Si8-C	386-Si8-C	387-Si8-C	388-Si8-C	389-Si8-C	390-Si8-C	391-Si8-C	392-Si8-C	393-Si8-C	394-Si8-C	395-Si8-C	396-Si8-C	397-Si8-C	49-Si8-C	50-Si8-C	51-Si8-C	52-Si8-C	53-Si8-C	54-Si8-C	55-Si8-C	56-Si8-C	57-Si8-C	58-Si8-C	59-Si8-C	60-Si8-C	61-Si8-C	62-Si8-C	63-Si8-C	64-Si8-C
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus	0	7.45E-05	0	0	0	0	0	0	0	0.000856525	0	0.001355709	5.35E-05	4.28E-05	0	0	0	0.002640666	0	0	0	0	0	0	0	0	0	0.004566862	0	0	0	0	0	0	0.003451714	0.000680704	0.000848287	0	0.00249584	0	0	0.002246128	0.00247229	0.003542783	0.001419697	0.000110266
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group	0	0.001520142	0	0	0	0	0	0	0	0.001132355	0.000517239	0.005459475	0.000472287	8.56E-05	0	0	0	0.00524926	0	0.011142061	0	0.002773821	0	0	0	0	0	0	0	0	0	6.29E-05	0.000753989	0	0.003911943	9.08E-05	0	0.002086467	0.008208541	8.82E-05	0	0.00130039	0.003543615	9.90E-05	5.74E-05	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;__	0	0.001222075	0	0	0	0	0	0	0	0.000638764	0	0.002088524	5.35E-05	0	0	0	6.19E-05	0.003346269	0	0	0.063760573	0	0.048034934	0	0	0	0	0	0	0	0	0.000251794	0.001809573	0	0.003643476	0	0	0	0.000332779	0.000187528	0.000112908	0.003546519	0.000535663	0.00122127	0.00058265	0.000132319
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;__	0	0	0	0	0	0	0	0	0	0	0	0	2.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000613638	0	0.003849918	0.00135863	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASF356	0	0	0	0	0	0	0	0	0	0.002714748	0	0.001612194	0.000686152	0	0	0.000544563	5.15E-05	0.010915467	0	0	0	0	0	0	0	0	0	0.002711574	0	0.001587302	7.79E-05	0	0	0	0	0.001361409	0.002022838	0.000873405	0	4.41E-05	0	0.001773259	0.000206024	0.00036308	0.000837047	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001	0	0	0	0	0	0	0	0	0	0.001074285	0	0.005386194	0.000106933	5.13E-05	0.00012062	0	0	0.00112255	0	0	0	0	0	0	0	0	0	0	0	0	7.79E-05	0	0	0	0.007517067	0.00154293	0	0.000363919	0	0	0	0.001418607	0	0.00248655	0.000418523	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas	0	0.004754169	0.000338945	3.45E-05	0	0	8.06E-05	0.000613865	0	0.000217761	0	0.000989301	6.24E-05	0	0	0	0	0.001379133	0	0	0	0	0.007124799	0	0	0	0	0	0	0	0	0	0.000452393	0	0.002876429	0.000589944	0	0.000218351	0.000831947	0	0	0	0	0.004775055	0	5.51E-05
d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus	0	0	0	0	0	0	0	0	0	0	0	0.000183204	6.24E-05	0	0	0	0	0.000128291	0	0	0	0	0	0	0.013001605	0.01498751	0.001468564	0.013272442	0	0	0	0	0	0	0	0	0	0.001237323	0.00177482	0.000286808	0.000112908	0.00390117	0.001565784	0.000176039	0.000410317	0.000584408
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group	0	0	0	0	0	0	0	0	0	0	0	0.000512971	0.000106933	0	0	0	0	0.000181746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000363042	0.001696574	0.004852249	0.023682751	0	0	0.022815936	0.014339281	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus	0	0	0.000338945	0	0	0	0	0	0	0.000203243	0	0.003590796	0	0	0	0	0	0.001133241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000536933	0	0.005089723	0.00798195	0.035662784	8.82E-05	0.000268157	0.019742286	0.014916148	0.001837406	0.001395078	0.000275664
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ruminantium_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003132137	0.002498908	0.016694398	0	0	0.004728691	0.008817833	0	0	4.41E-05
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001892377	0.012978369	8.82E-05	0.000324611	0.006620168	0.01075446	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus	0.000304031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00031164	0	0	0.000328434	0	0.000181521	0.003523654	0.001431413	0.02224071	0	0.000296384	0.028963234	0.00964193	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__Anaeroplasma	0	0	0.000180771	0	0	0	0	0	0	7.26E-05	0	0.001392349	4.46E-05	4.28E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005484391	0.004038846	0	0	0.000998336	0	0	0.000591086	0	0.002596574	0.00042673	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group	4.05E-05	0.000924008	0	0	0	0	4.83E-05	0	0	0.000304865	0	0.002528213	0	0	0	0	0	0.003709762	0.012987013	0	0.020819779	0	0.005745806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus	0	0.000163937	0	0	0	0	0	0	0	0.000508108	0	0.00047633	0.000311887	0	0	0	0	0.000406256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001089127	0	0	0	0	0	0.008511644	0	0.00036308	0.003134822	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group	0	0	0.000203367	0	0	0	0	0	0	0.001727567	0	0.00806097	0.000712885	0.000196798	0	0	0	0.024097416	0	0	0	0	0	0	0	0	0	0	0	0.001133787	0	0	0	0	0.004678991	0.002949719	0.000130506	0	0.000332779	0	0	0.001063956	0.000988916	0.003267722	0.000237984	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group	0	0	0	0	3.32E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00057476	0	0	0.001696574	0.002377602	0.010981697	4.41E-05	4.23E-05	0.011703511	0.005315423	0	0	6.62E-05
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	0	0.00022355	0	0	0	0	0.000322201	0	0	0	0	0	8.91E-05	0	0	0	0	0	0.002597403	0	0	0	0	0	0	0.002497918	0	0	0	0	0	0	0	0.000821085	0	0	0.000848287	0.001237323	0.005213533	0	0.000197589	0.03132758	0.014545305	5.50E-05	5.74E-05	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;__	0	0.004068615	0	0	0	0	0	0	0	0.000116139	0.000103448	0	0.000409909	0	0	0	0	0.000299347	0	0	0.016265452	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00095881	0.000272282	0	0.000509486	0	3.31E-05	0	0	0.000535663	0.000198044	3.28E-05	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum	0	0	0.000135578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.79E-05	0	0	0	0	0	0	0.005701393	0.016694398	3.31E-05	0.000197589	0.012885684	0.007828918	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0	0	0	0	0	0	4.83E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003132137	0.002450386	0.011702718	0	0	0.021160894	0.006386749	0	0	0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002022838	0.000800621	0.009317804	0	0.000112908	0.007802341	0.006469158	0	0	0
d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales;f__Gastranaerophilales;g__Gastranaerophilales	0	0	0.000112982	0	0	0	0	2.79E-05	0	0.001509806	0	0.006265572	0.000721796	0.000188242	0	0	0	0.002426847	0	0	0	0	0	0	0	0	0.000275356	0	0	0	0	0	0	0	0.001534095	0.000816845	0	0.000169829	0.002606767	0	0	0.002837215	0.000288434	0.001144253	0.000303635	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter	0	0	0	0	0	0	0	0	0	0.000696834	4.43E-05	0.004030485	0	0	0	7.47E-05	0	0.002662048	0	0	0.009759271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000849144	0.000665557	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1819	0	0.000193744	9.04E-05	0	0	0	0	0	0	0	0	0	8.02E-05	5.13E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004138718	0	0	0	0	0	0	0.001035514	0.000272282	0	0	0.003549639	0	0	0.001655042	0.000618072	0.000550122	4.92E-05	4.41E-05
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium]_siraeum_group	0	0	0	0	0	0	0	4.19E-05	0	0.000754903	0	0.003187747	0	1.71E-05	0	0	0	0.00256583	0	0	0	0	0	0	0	0	0	0.004566862	0	0	0	0	0	0	0	0	0	0	0.000776484	0	0	0.000354652	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181521	0.001174551	0.001916638	0.009206877	0	0.000127022	0.004610474	0.002843133	0	0	5.51E-05
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_UCG-001	0	0	0.000158174	0	0	0	0	0	0	0.000101622	0	0.001062582	0	0	0	0	0	0.000726985	0	0	0	0	0	0	0	0.002497918	0	0	0	0	0	0	0	0	0.000882105	0	0	0	0.000443705	0	0	0	0.000412048	0.000396088	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured;g__uncultured	0	0	0	5.18E-05	0	0	0	0	0	0	0	0	0	6.85E-05	0	0	0	0.000470402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004027	0	0	0.001382891	0.002717693	0	0	0	0.00119494	0.000286063	0.000180539	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-009	0	0	9.04E-05	0	0	0	0	0	0	0.00027583	0	0.000806097	0	0	0	0	2.06E-05	0.001657098	0	0	0.006506181	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002377848	0	0	0	0	0	0	0.001182173	0	0.000517114	8.21E-05	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_brachy_group	0	0	6.78E-05	0	0	0	0	0.000209272	0	0.000116139	0.000266009	0.000146563	0.000400998	0	0	0	0	0.000203128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000498581	0.000408423	0	0	0	0	0	0	0	0.000209046	0	0.000132319
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Curtobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019551877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000921927	0.005934554	0	0	0.008156993	0.005068194	2.20E-05	4.10E-05	0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__uncultured	0	0.00289125	0	0	0	0	0.000209431	0.000864992	0	0	0	0.000696175	0	4.28E-05	7.24E-05	0	0	0.000149673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Peptostreptococcus	0	0	0	0	0	0	0	0	0	0	5.91E-05	0	0.000151488	0	0	0.000181521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002547431	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000717781	0.002887088	0.008208541	0	0	0.004374039	0.005480242	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae;g__Anaerofustis	0	0.000104323	0	0	0	0	8.06E-05	5.58E-05	0	0	0.000236452	0.000512971	0.000400998	0	0.000205054	0	0	0.00022451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.50E-05	0	5.51E-05
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004	0	0.000983621	0	0	0	0	0	0	0	0	0	0.000879379	0	0	0	0	0	0.000513166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000332779	0	0	0	0.000659277	0.000121027	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor	0	0.002205696	0.000271156	0	0	0	3.22E-05	0	0	0.000391969	0	0.002454932	0	0	0	0	0	0.00022451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001073867	0	0	0	0	0	0	0	0	0.001419314	0	0
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Azambacteria;f__Candidatus_Azambacteria;g__Candidatus_Azambacteria	0	0.000253357	0.000384137	0.000448988	0	0.000779684	0.000257761	0	0.000145376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.19E-05	0	0	0	0	0	0	0.000897666	0.002384914	0	0	0.000945738	0.00111253	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__uncultured	0	0	0	0	0	0	0	0	0	7.26E-05	8.87E-05	0	0.000356443	4.28E-05	0.000337736	0.000405753	0.001082441	0.000908731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000383524	0.001679071	0.000261011	0	0	3.31E-05	0	0.000354652	0.000453253	0.000209046	0.000114889	6.62E-05
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575	0	0.001400915	9.04E-05	0	0	0	0	0	0	0.000653282	0	0.003261029	0.000124755	0	9.65E-05	0	0	0.002287865	0	0	0.01366298	0	0	0	0.000963082	0	0	0	0	0	7.79E-05	9.44E-05	0.000874627	0	0.001227276	0.000317662	0	0.000460964	0.000166389	0	9.88E-05	0	0.000164819	0.000517114	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000136141	0	0	0.007432058	0	8.47E-05	0.002718998	0.002348675	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39;g__RF39	0	0.000149034	6.78E-05	0	0	0	3.22E-05	9.77E-05	0	0.000348417	0.000103448	0.001025942	0.000356443	5.13E-05	2.41E-05	0	0	0.00010691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000317662	0.001435563	0.001116017	0.001497504	5.52E-05	0	0.001536825	0	0.000792175	6.57E-05	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tuzzerella	0	0.000432197	0	5.18E-05	0	0	9.67E-05	0	0	0	0	0	0	0	0	0	0	0.00044902	0	0	0.018217306	0	0	0	0	0	0	0	0	0	0	0	0.000392074	0	0.000575286	0	0	0	0.000499168	0	0	0	0	0.000220049	0.00015592	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__uncultured	0	0.00022355	0	0	0	0	0	0	0	0.00027583	7.39E-05	0.000769456	0.000151488	0	0	0	0	0.000523857	0	0	0	0	0	0	0.001123596	0	0	0	0	0	0	0	0	0	0.000345171	0.000226901	0	0.000145567	0.000388242	0	0	0	0.000288434	0.000242053	4.92E-05	3.31E-05
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia	0	0	0	0	0	0	0.000982714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006620168	0.003955664	0	0	0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter	0	0	0	0	0	0	0	0	0	0	0.000206896	0	0.000507931	0	0.00018093	0.000106777	0	0.000470402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;__	0	0	0	0	0	0	0	0	0	0.000116139	0.000413791	0	0.00058813	3.42E-05	0.000410108	0	4.12E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Enhydrobacter	0	0	9.04E-05	0	0	0.000297022	0.001143815	0.000153466	0	0	0	0	0	0	0	3.20E-05	0	0	0	0	0	0	0.004596644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000591086	0	0	0.000172333	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005	0	7.45E-05	0	0.000120881	0	0	0	0	0	0	0	0.000512971	4.46E-05	0	0	0	0	0.000791131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000613638	0.000408423	0.001631321	0.001504197	0.003993344	0	0	0.002837215	0.002101446	0.000187041	7.39E-05	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Pantoea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005708577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Jeotgalicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000145567	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Peptoniphilus	0	0	0	0	0	0	0	0	0	0	0	0	2.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000679315	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__	0	0	0	0.000155419	0	0.000222767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000391517	0	0.000721021	0	0	0.001655042	0.003543615	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.79E-05	0	0	0	0	0	0	0.00038818	0.005712701	0	0	0.00520156	0.002678314	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	0.000749944	0	0.000497119	0.000310838	0	0.00033415	0.000225541	0.000111612	5.82E-05	0	0	0.00047633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000363919	0.000277316	0	0	0	0.001895422	2.20E-05	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__uncultured;f__uncultured;g__uncultured	0	0	0	0	0	0	0.000144991	6.98E-05	0	0	0	0	9.80E-05	0	0.000265364	0	0	3.21E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010;g__UCG-010	0	0	0	0	0	0	0	0	0	0	0	0.000989301	0	0	0	0	0	0.000545239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008054	0	0	0	0.000221852	0	0	0	0	4.40E-05	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000110024	9.03E-05	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000848287	0.000242612	0.005379922	0	0	0	0.002225061	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000328434	0	0	0	0	0.00249584	0	0	0	0.002966748	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus	0	8.94E-05	0	0	0	0	0	6.98E-05	0	0.000232278	0	0.000439689	0	0	0	0	0	0.000267274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000613638	0.000317662	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00038818	0.004769828	0	0	0	0.001730603	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella	0	0	0	0	0	0	0	0	0	0	0	0	0.000151488	0	3.62E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001109299	0.000315396	0.002717693	0	0	0.000945738	0.00111253	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group	0	0	0	0	0	0	0	0	0	0	0	0.000586252	0	0	0	0	0	0.000481093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000575286	0	0.000587276	0.000485225	0.000499168	0	0	0.002127911	0.002060241	0.000121027	7.39E-05	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Vagococcaceae;g__Vagococcus	0	0	0	0	0	0	0	0	0	0	0	0	0.000507931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003323791	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_fissicatena_group	0	0	0	0	0.000265208	0.000222767	0.000338311	0	0	0	0	0.000183204	0.00041882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__uncultured	0	8.94E-05	0	0	0	0	0	0	0	0.000246795	0	0.000732815	4.46E-05	0	4.82E-05	0	0	0.000972877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001457391	0.000363042	0	0.000558009	0.00088741	0	0	0.001418607	0.000741687	0.000154034	8.21E-05	0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000558009	0.001996672	0	0	0	0.001153735	0	0	0
